00:02:14:13 | W | Mismatching | SEQ : 20174830530, PART : 52124713AD, SCAN TQ41977C0838, CELL [1,1]
06:28:15:91 | I | Matching ok | SEQ : 20174832860, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
06:28:18:98 | I | Matching ok | SEQ : 20174832850, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
06:28:20:99 | I | Matching ok | SEQ : 20174832840, PART : N/A, SCAN N/A, CELL [2,4]
06:28:23:88 | I | Matching ok | SEQ : 20174832830, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
06:28:26:16 | I | Matching ok | SEQ : 20174832820, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
06:41:41:55 | I | Matching ok | SEQ : 20174832930, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
06:41:44:88 | I | Matching ok | SEQ : 20174832920, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
06:41:48:78 | I | Matching ok | SEQ : 20174832910, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
06:41:51:49 | I | Matching ok | SEQ : 20174832900, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
06:41:55:73 | I | Matching ok | SEQ : 20174832890, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
06:41:57:75 | I | Matching ok | SEQ : 20174832880, PART : N/A, SCAN N/A, CELL [1,6]
06:42:01:58 | I | Matching ok | SEQ : 20174832990, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
06:42:07:18 | I | Matching ok | SEQ : 20174832980, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
06:42:10:85 | I | Matching ok | SEQ : 20174832970, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
06:42:14:33 | I | Matching ok | SEQ : 20174832960, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
06:42:16:93 | I | Matching ok | SEQ : 20174832950, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
06:42:18:94 | I | Matching ok | SEQ : 20174832940, PART : N/A, SCAN N/A, CELL [2,6]
06:54:53:17 | I | Matching ok | SEQ : 20174833050, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
06:54:55:20 | I | Matching ok | SEQ : 20174833040, PART : N/A, SCAN N/A, CELL [1,2]
06:54:57:62 | I | Matching ok | SEQ : 20174833030, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
06:55:03:92 | I | Matching ok | SEQ : 20174833020, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
06:55:05:93 | I | Matching ok | SEQ : 20174833010, PART : N/A, SCAN N/A, CELL [1,5]
06:55:07:96 | I | Matching ok | SEQ : 20174833000, PART : N/A, SCAN N/A, CELL [1,6]
06:55:11:02 | I | Matching ok | SEQ : 20174833110, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
06:55:14:00 | I | Matching ok | SEQ : 20174833100, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
06:55:17:10 | I | Matching ok | SEQ : 20174833090, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
06:55:21:85 | I | Matching ok | SEQ : 20174833080, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
06:55:24:97 | I | Matching ok | SEQ : 20174833070, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
06:55:28:55 | I | Matching ok | SEQ : 20174833060, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
06:55:30:80 | I | Matching ok | SEQ : 20174833170, PART : N/A, SCAN N/A, CELL [1,1]
06:55:32:84 | I | Matching ok | SEQ : 20174833160, PART : N/A, SCAN N/A, CELL [1,2]
07:26:52:34 | I | Matching ok | SEQ : 20174833150, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
07:26:55:77 | I | Matching ok | SEQ : 20174833140, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
07:26:57:79 | I | Matching ok | SEQ : 20174833130, PART : N/A, SCAN N/A, CELL [1,5]
07:27:00:37 | I | Matching ok | SEQ : 20174833120, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
07:27:03:67 | I | Matching ok | SEQ : 20174833230, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
07:27:07:42 | I | Matching ok | SEQ : 20174833220, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
07:27:10:22 | I | Matching ok | SEQ : 20174833210, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
07:27:12:23 | I | Matching ok | SEQ : 20174833200, PART : N/A, SCAN N/A, CELL [2,4]
07:27:15:12 | I | Matching ok | SEQ : 20174833190, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
07:27:18:59 | I | Matching ok | SEQ : 20174833180, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
07:40:10:94 | I | Matching ok | SEQ : 20174833290, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
07:40:15:24 | I | Matching ok | SEQ : 20174833280, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
07:40:19:39 | I | Matching ok | SEQ : 20174833270, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
07:40:22:91 | I | Matching ok | SEQ : 20174833260, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
07:40:26:21 | I | Matching ok | SEQ : 20174833250, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
07:40:29:21 | I | Matching ok | SEQ : 20174833240, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
07:40:31:22 | I | Matching ok | SEQ : 20174833350, PART : N/A, SCAN N/A, CELL [2,1]
07:40:35:46 | I | Matching ok | SEQ : 20174833340, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
07:40:38:94 | I | Matching ok | SEQ : 20174833330, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
07:40:42:24 | I | Matching ok | SEQ : 20174833320, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
07:40:44:26 | I | Matching ok | SEQ : 20174833310, PART : N/A, SCAN N/A, CELL [2,5]
07:40:46:28 | I | Matching ok | SEQ : 20174833300, PART : N/A, SCAN N/A, CELL [2,6]
07:52:06:40 | I | Matching ok | SEQ : 20174833410, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
07:52:09:78 | I | Matching ok | SEQ : 20174833400, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
07:52:13:08 | I | Matching ok | SEQ : 20174833390, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
07:52:16:50 | I | Matching ok | SEQ : 20174833380, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
07:52:19:53 | I | Matching ok | SEQ : 20174833370, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
07:52:23:40 | I | Matching ok | SEQ : 20174833360, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
07:52:26:65 | I | Matching ok | SEQ : 20174833470, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
07:52:28:67 | I | Matching ok | SEQ : 20174833460, PART : N/A, SCAN N/A, CELL [2,2]
07:52:31:65 | I | Matching ok | SEQ : 20174833450, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
07:52:33:68 | I | Matching ok | SEQ : 20174833440, PART : N/A, SCAN N/A, CELL [2,4]
07:52:35:69 | I | Matching ok | SEQ : 20174833430, PART : N/A, SCAN N/A, CELL [2,5]
07:52:38:98 | I | Matching ok | SEQ : 20174833420, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
07:52:41:07 | I | Matching ok | SEQ : 20174833530, PART : N/A, SCAN N/A, CELL [1,1]
08:01:02:87 | I | Matching ok | SEQ : 20174833520, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
08:01:04:89 | I | Matching ok | SEQ : 20174833510, PART : N/A, SCAN N/A, CELL [1,3]
08:01:10:04 | I | Matching ok | SEQ : 20174833500, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
08:01:16:74 | I | Matching ok | SEQ : 20174833490, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
08:01:21:57 | I | Matching ok | SEQ : 20174833480, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
08:01:27:62 | I | Matching ok | SEQ : 20174833590, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
08:01:34:22 | I | Matching ok | SEQ : 20174833580, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
08:01:39:54 | I | Matching ok | SEQ : 20174833570, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
08:01:44:19 | I | Matching ok | SEQ : 20174833560, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
08:01:47:44 | I | Matching ok | SEQ : 20174833550, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
08:01:51:02 | I | Matching ok | SEQ : 20174833540, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
08:12:58:56 | I | Matching ok | SEQ : 20174833650, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
08:13:00:58 | I | Matching ok | SEQ : 20174833640, PART : N/A, SCAN N/A, CELL [1,2]
08:13:02:61 | I | Matching ok | SEQ : 20174833630, PART : N/A, SCAN N/A, CELL [1,3]
08:13:06:96 | I | Matching ok | SEQ : 20174833620, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
08:13:12:08 | I | Matching ok | SEQ : 20174833610, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
08:13:14:11 | I | Matching ok | SEQ : 20174833600, PART : N/A, SCAN N/A, CELL [1,6]
08:13:17:96 | I | Matching ok | SEQ : 20174833710, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
08:13:21:58 | I | Matching ok | SEQ : 20174833700, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
08:13:25:36 | I | Matching ok | SEQ : 20174833690, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
08:13:29:06 | I | Matching ok | SEQ : 20174833680, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
08:13:32:76 | I | Matching ok | SEQ : 20174833670, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
08:13:36:86 | I | Matching ok | SEQ : 20174833660, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
08:13:38:97 | I | Matching ok | SEQ : 20174833770, PART : N/A, SCAN N/A, CELL [1,1]
08:22:20:45 | I | Matching ok | SEQ : 20174833760, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
08:22:25:20 | I | Matching ok | SEQ : 20174833750, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
08:22:30:12 | I | Matching ok | SEQ : 20174833740, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
08:22:34:05 | I | Matching ok | SEQ : 20174833730, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
08:22:37:95 | I | Matching ok | SEQ : 20174833720, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
08:22:39:97 | I | Matching ok | SEQ : 20174833830, PART : N/A, SCAN N/A, CELL [2,1]
08:22:43:45 | I | Matching ok | SEQ : 20174833820, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
08:22:49:47 | I | Matching ok | SEQ : 20174833810, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
08:22:51:48 | I | Matching ok | SEQ : 20174833800, PART : N/A, SCAN N/A, CELL [2,4]
08:22:53:49 | I | Matching ok | SEQ : 20174833790, PART : N/A, SCAN N/A, CELL [2,5]
08:22:56:45 | I | Matching ok | SEQ : 20174833780, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
08:35:38:37 | I | Matching ok | SEQ : 20174833890, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
08:38:45:92 | I | Matching ok | SEQ : 20174833880, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
08:38:50:72 | I | Matching ok | SEQ : 20174833870, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
08:38:52:74 | I | Matching ok | SEQ : 20174833860, PART : N/A, SCAN N/A, CELL [1,4]
08:38:54:77 | I | Matching ok | SEQ : 20174833850, PART : N/A, SCAN N/A, CELL [1,5]
08:38:58:15 | I | Matching ok | SEQ : 20174833840, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
08:39:03:04 | I | Matching ok | SEQ : 20174833950, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
08:39:05:10 | I | Matching ok | SEQ : 20174833940, PART : N/A, SCAN N/A, CELL [2,2]
08:39:07:11 | I | Matching ok | SEQ : 20174833930, PART : N/A, SCAN N/A, CELL [2,3]
08:39:11:92 | I | Matching ok | SEQ : 20174833920, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
08:39:15:77 | I | Matching ok | SEQ : 20174833910, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
08:40:30:87 | I | Matching ok | SEQ : 20174833900, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
08:45:04:15 | I | Matching ok | SEQ : 20174834010, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
08:45:06:18 | I | Matching ok | SEQ : 20174834000, PART : N/A, SCAN N/A, CELL [1,2]
08:45:08:21 | I | Matching ok | SEQ : 20174833990, PART : N/A, SCAN N/A, CELL [1,3]
08:45:11:48 | I | Matching ok | SEQ : 20174833980, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
08:45:15:08 | I | Matching ok | SEQ : 20174833970, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
08:45:17:11 | I | Matching ok | SEQ : 20174833960, PART : N/A, SCAN N/A, CELL [1,6]
08:45:19:16 | I | Matching ok | SEQ : 20174834070, PART : N/A, SCAN N/A, CELL [2,1]
08:45:22:23 | I | Matching ok | SEQ : 20174834060, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
08:45:25:73 | I | Matching ok | SEQ : 20174834050, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
08:45:29:33 | I | Matching ok | SEQ : 20174834040, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
08:45:34:13 | I | Matching ok | SEQ : 20174834030, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
08:45:37:75 | I | Matching ok | SEQ : 20174834020, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
08:57:47:05 | I | Matching ok | SEQ : 20174834130, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
08:57:50:25 | I | Matching ok | SEQ : 20174834120, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
08:57:53:10 | I | Matching ok | SEQ : 20174834110, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
08:57:55:90 | I | Matching ok | SEQ : 20174834100, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
08:57:58:62 | I | Matching ok | SEQ : 20174834090, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
08:58:02:42 | I | Matching ok | SEQ : 20174834080, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
08:58:05:22 | I | Matching ok | SEQ : 20174834190, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
08:58:07:23 | I | Matching ok | SEQ : 20174834180, PART : N/A, SCAN N/A, CELL [2,2]
08:58:10:07 | I | Matching ok | SEQ : 20174834170, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
08:58:13:07 | I | Matching ok | SEQ : 20174834160, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
08:58:16:55 | I | Matching ok | SEQ : 20174834150, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
08:58:19:65 | I | Matching ok | SEQ : 20174834140, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
09:05:52:06 | I | Matching ok | SEQ : 20174834250, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
09:05:54:14 | I | Matching ok | SEQ : 20174834240, PART : N/A, SCAN N/A, CELL [1,2]
09:05:56:84 | I | Matching ok | SEQ : 20174834230, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
09:06:01:31 | I | Matching ok | SEQ : 20174834220, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
09:06:05:21 | I | Matching ok | SEQ : 20174834210, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
09:06:08:78 | I | Matching ok | SEQ : 20174834200, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
09:06:10:80 | I | Matching ok | SEQ : 20174834310, PART : N/A, SCAN N/A, CELL [2,1]
09:06:15:09 | I | Matching ok | SEQ : 20174834300, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
09:06:19:19 | I | Matching ok | SEQ : 20174834290, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
09:06:21:21 | I | Matching ok | SEQ : 20174834280, PART : N/A, SCAN N/A, CELL [2,4]
09:06:24:98 | I | Matching ok | SEQ : 20174834270, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
09:06:28:96 | I | Matching ok | SEQ : 20174834260, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
09:25:05:59 | I | Matching ok | SEQ : 20174834370, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
09:25:10:01 | I | Matching ok | SEQ : 20174834360, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
09:25:15:79 | I | Matching ok | SEQ : 20174834350, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
09:25:18:99 | I | Matching ok | SEQ : 20174834340, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
09:25:21:01 | I | Matching ok | SEQ : 20174834330, PART : N/A, SCAN N/A, CELL [1,5]
09:25:37:94 | I | Matching ok | SEQ : 20174834320, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
09:25:40:44 | I | Matching ok | SEQ : 20174834430, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
09:25:44:74 | I | Matching ok | SEQ : 20174834420, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
09:25:47:44 | I | Matching ok | SEQ : 20174834410, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
09:25:50:71 | I | Matching ok | SEQ : 20174834400, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
09:25:53:49 | I | Matching ok | SEQ : 20174834390, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
09:25:56:52 | I | Matching ok | SEQ : 20174834380, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
09:32:52:32 | I | Matching ok | SEQ : 20174834490, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
09:32:54:37 | I | Matching ok | SEQ : 20174834480, PART : N/A, SCAN N/A, CELL [1,2]
09:32:57:05 | I | Matching ok | SEQ : 20174834470, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
09:33:03:27 | I | Matching ok | SEQ : 20174834460, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
09:33:09:05 | I | Matching ok | SEQ : 20174834450, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
09:33:12:40 | I | Matching ok | SEQ : 20174834440, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
09:33:16:98 | I | Matching ok | SEQ : 20174834550, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
09:33:20:72 | I | Matching ok | SEQ : 20174834540, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
09:33:23:77 | I | Matching ok | SEQ : 20174834530, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
09:33:25:80 | I | Matching ok | SEQ : 20174834520, PART : N/A, SCAN N/A, CELL [2,4]
09:33:27:83 | I | Matching ok | SEQ : 20174834510, PART : N/A, SCAN N/A, CELL [2,5]
09:33:31:30 | I | Matching ok | SEQ : 20174834500, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
09:42:23:44 | I | Matching ok | SEQ : 20174834610, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
09:42:25:45 | I | Matching ok | SEQ : 20174834600, PART : N/A, SCAN N/A, CELL [1,2]
09:42:28:31 | I | Matching ok | SEQ : 20174834590, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
09:42:30:32 | I | Matching ok | SEQ : 20174834580, PART : N/A, SCAN N/A, CELL [1,4]
09:42:32:33 | I | Matching ok | SEQ : 20174834570, PART : N/A, SCAN N/A, CELL [1,5]
09:42:35:11 | I | Matching ok | SEQ : 20174834560, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
09:42:37:15 | I | Matching ok | SEQ : 20174834670, PART : N/A, SCAN N/A, CELL [2,1]
09:42:47:89 | I | Matching ok | SEQ : 20174834660, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
09:42:53:99 | I | Matching ok | SEQ : 20174834650, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
09:42:56:01 | I | Matching ok | SEQ : 20174834640, PART : N/A, SCAN N/A, CELL [2,4]
09:42:59:26 | I | Matching ok | SEQ : 20174834630, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
09:43:01:27 | I | Matching ok | SEQ : 20174834620, PART : N/A, SCAN N/A, CELL [2,6]
09:43:09:88 | I | Matching ok | SEQ : 20174834620, PART : N/A, SCAN N/A, CELL [2,6]
09:43:11:96 | I | Matching ok | SEQ : 20174834620, PART : N/A, SCAN N/A, CELL [0,0]
09:43:11:96 | E | There is no row at position 11.
09:43:11:97 | E | There is no row at position 11.
09:47:14:93 | I | Matching ok | SEQ : 20174834730, PART : N/A, SCAN N/A, CELL [1,1]
09:55:43:58 | I | Matching ok | SEQ : 20174834720, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
09:55:47:13 | I | Matching ok | SEQ : 20174834710, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
09:55:49:31 | I | Matching ok | SEQ : 20174834700, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
09:55:51:34 | I | Matching ok | SEQ : 20174834690, PART : N/A, SCAN N/A, CELL [1,5]
09:55:53:71 | I | Matching ok | SEQ : 20174834680, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
09:55:56:28 | I | Matching ok | SEQ : 20174834790, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
09:55:58:38 | I | Matching ok | SEQ : 20174834780, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
09:56:00:68 | I | Matching ok | SEQ : 20174834770, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
09:56:03:11 | W | Mismatching | SEQ : 20174834760, PART : 04578885AC, SCAN P52124713AD, CELL [2,4]
09:56:26:01 | I | Matching ok | SEQ : 20174834760, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
09:56:31:76 | I | Matching ok | SEQ : 20174834750, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
09:56:33:77 | I | Matching ok | SEQ : 20174834740, PART : N/A, SCAN N/A, CELL [2,6]
09:58:37:18 | I | Matching ok | SEQ : 20174834740, PART : N/A, SCAN N/A, CELL [0,0]
09:58:37:18 | E | There is no row at position 11.
09:58:37:18 | E | There is no row at position 11.
10:30:42:44 | I | Matching ok | SEQ : 20174834850, PART : N/A, SCAN N/A, CELL [1,1]
10:40:05:90 | I | Matching ok | SEQ : 20174834840, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
10:40:08:74 | I | Matching ok | SEQ : 20174834830, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
10:40:10:77 | I | Matching ok | SEQ : 20174834820, PART : N/A, SCAN N/A, CELL [1,4]
10:40:12:78 | I | Matching ok | SEQ : 20174834810, PART : N/A, SCAN N/A, CELL [1,5]
10:40:18:10 | I | Matching ok | SEQ : 20174834800, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
10:40:22:30 | W | Mismatching | SEQ : 20174834910, PART : 04578885AC, SCAN P52124713AD, CELL [2,1]
10:40:35:34 | I | Matching ok | SEQ : 20174834910, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
10:40:38:97 | I | Matching ok | SEQ : 20174834900, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
10:40:43:02 | I | Matching ok | SEQ : 20174834890, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
10:40:46:15 | I | Matching ok | SEQ : 20174834880, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
10:40:48:97 | I | Matching ok | SEQ : 20174834870, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
10:40:53:64 | I | Matching ok | SEQ : 20174834860, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
10:49:38:43 | I | Matching ok | SEQ : 20174834970, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
10:49:42:26 | I | Matching ok | SEQ : 20174834960, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
10:49:45:59 | I | Matching ok | SEQ : 20174834950, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
10:49:48:29 | I | Matching ok | SEQ : 20174834940, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
10:49:53:78 | I | Matching ok | SEQ : 20174834930, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
10:49:56:11 | I | Matching ok | SEQ : 20174834920, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
10:50:03:44 | I | Matching ok | SEQ : 20174835030, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
10:50:05:47 | I | Matching ok | SEQ : 20174835020, PART : N/A, SCAN N/A, CELL [2,2]
10:50:09:66 | I | Matching ok | SEQ : 20174835010, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
10:50:11:78 | I | Matching ok | SEQ : 20174835000, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
10:50:14:23 | I | Matching ok | SEQ : 20174834990, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
10:50:17:43 | I | Matching ok | SEQ : 20174834980, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
11:05:27:31 | I | Matching ok | SEQ : 20174835090, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
11:05:32:11 | I | Matching ok | SEQ : 20174835080, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
11:05:37:11 | I | Matching ok | SEQ : 20174835070, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
11:05:41:26 | I | Matching ok | SEQ : 20174835060, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
11:05:49:01 | I | Matching ok | SEQ : 20174835050, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
11:05:53:58 | I | Matching ok | SEQ : 20174835040, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
11:05:55:60 | I | Matching ok | SEQ : 20174835150, PART : N/A, SCAN N/A, CELL [2,1]
11:06:01:41 | I | Matching ok | SEQ : 20174835140, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
11:06:03:43 | I | Matching ok | SEQ : 20174835130, PART : N/A, SCAN N/A, CELL [2,3]
11:06:07:96 | I | Matching ok | SEQ : 20174835120, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
11:06:09:97 | I | Matching ok | SEQ : 20174835110, PART : N/A, SCAN N/A, CELL [2,5]
11:06:13:68 | I | Matching ok | SEQ : 20174835100, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
11:20:17:28 | I | Matching ok | SEQ : 20174835210, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
11:20:21:08 | I | Matching ok | SEQ : 20174835200, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
11:20:24:55 | I | Matching ok | SEQ : 20174835190, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
11:20:26:58 | I | Matching ok | SEQ : 20174835180, PART : N/A, SCAN N/A, CELL [1,4]
11:20:29:90 | I | Matching ok | SEQ : 20174835170, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
11:20:31:92 | I | Matching ok | SEQ : 20174835160, PART : N/A, SCAN N/A, CELL [1,6]
11:20:33:93 | I | Matching ok | SEQ : 20174835270, PART : N/A, SCAN N/A, CELL [2,1]
