00:06:46:20 | W | Mismatching | SEQ : 20174670210, PART : 04578885AC, SCAN TQ41847C1466, CELL [1,1]
04:03:40:84 | I | Matching ok | SEQ : 20174672450, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
04:04:35:47 | I | Matching ok | SEQ : 20174672440, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
04:04:38:14 | W | Mismatching | SEQ : 20174672550, PART : 52124713AD, SCAN P04578885AC, CELL [2,1]
04:04:52:62 | I | Matching ok | SEQ : 20174672550, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
04:05:21:52 | I | Matching ok | SEQ : 20174672540, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
04:05:24:62 | I | Matching ok | SEQ : 20174672530, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
04:05:35:34 | I | Matching ok | SEQ : 20174672520, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
04:05:50:92 | I | Matching ok | SEQ : 20174672510, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
04:06:01:97 | I | Matching ok | SEQ : 20174672500, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
04:15:27:48 | I | Matching ok | SEQ : 20174672610, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
04:15:42:71 | I | Matching ok | SEQ : 20174672600, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
04:15:45:61 | I | Matching ok | SEQ : 20174672590, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
04:15:47:63 | I | Matching ok | SEQ : 20174672580, PART : N/A, SCAN N/A, CELL [1,4]
04:15:53:46 | I | Matching ok | SEQ : 20174672570, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
04:15:55:47 | I | Matching ok | SEQ : 20174672560, PART : N/A, SCAN N/A, CELL [1,6]
04:16:01:66 | I | Matching ok | SEQ : 20174672670, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
04:16:13:94 | I | Matching ok | SEQ : 20174672660, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
04:16:25:99 | I | Matching ok | SEQ : 20174672650, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
04:16:31:21 | I | Matching ok | SEQ : 20174672640, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
04:16:50:74 | I | Matching ok | SEQ : 20174672630, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
04:16:52:74 | I | Matching ok | SEQ : 20174672620, PART : N/A, SCAN N/A, CELL [2,6]
04:16:54:85 | I | Matching ok | SEQ : 20174672730, PART : N/A, SCAN N/A, CELL [1,1]
04:23:29:30 | I | Matching ok | SEQ : 20174672720, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
04:23:35:25 | I | Matching ok | SEQ : 20174672710, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
04:23:45:50 | I | Matching ok | SEQ : 20174672700, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
04:23:57:15 | I | Matching ok | SEQ : 20174672690, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
04:24:05:70 | I | Matching ok | SEQ : 20174672680, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
04:24:34:85 | I | Matching ok | SEQ : 20174672790, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
04:24:40:85 | I | Matching ok | SEQ : 20174672780, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
04:25:03:40 | I | Matching ok | SEQ : 20174672770, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
04:25:11:35 | I | Matching ok | SEQ : 20174672760, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
04:25:13:38 | I | Matching ok | SEQ : 20174672750, PART : N/A, SCAN N/A, CELL [2,5]
04:25:27:42 | I | Matching ok | SEQ : 20174672740, PART : 68193661AB, SCAN P68193661AB, CELL [2,6]
04:25:29:65 | I | Matching ok | SEQ : 20174672850, PART : N/A, SCAN N/A, CELL [1,1]
04:33:50:23 | I | Matching ok | SEQ : 20174672840, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
04:34:02:11 | I | Matching ok | SEQ : 20174672830, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
04:34:10:84 | I | Matching ok | SEQ : 20174672820, PART : 68193661AB, SCAN P68193661AB, CELL [1,4]
04:34:19:14 | I | Matching ok | SEQ : 20174672810, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
04:34:21:15 | I | Matching ok | SEQ : 20174672800, PART : N/A, SCAN N/A, CELL [1,6]
04:34:30:99 | I | Matching ok | SEQ : 20174672910, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
04:34:39:54 | I | Matching ok | SEQ : 20174672900, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
04:34:41:55 | I | Matching ok | SEQ : 20174672890, PART : N/A, SCAN N/A, CELL [2,3]
04:34:44:49 | I | Matching ok | SEQ : 20174672880, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
04:34:52:69 | I | Matching ok | SEQ : 20174672870, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
04:34:58:81 | I | Matching ok | SEQ : 20174672860, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
04:35:00:93 | I | Matching ok | SEQ : 20174672970, PART : N/A, SCAN N/A, CELL [1,1]
06:21:00:77 | I | Matching ok | SEQ : 20174672960, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
06:21:05:19 | I | Matching ok | SEQ : 20174672950, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
06:21:07:20 | I | Matching ok | SEQ : 20174672940, PART : N/A, SCAN N/A, CELL [1,4]
06:21:09:23 | I | Matching ok | SEQ : 20174672930, PART : N/A, SCAN N/A, CELL [1,5]
06:21:11:41 | I | Matching ok | SEQ : 20174672920, PART : 68193661AB, SCAN P68193661AB, CELL [1,6]
06:21:15:04 | I | Matching ok | SEQ : 20174673030, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
06:21:18:69 | I | Matching ok | SEQ : 20174673020, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
06:21:22:01 | I | Matching ok | SEQ : 20174673010, PART : 68193661AB, SCAN P68193661AB, CELL [2,3]
06:21:24:34 | I | Matching ok | SEQ : 20174673000, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
06:21:27:39 | I | Matching ok | SEQ : 20174672990, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
06:21:30:14 | I | Matching ok | SEQ : 20174672980, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
06:29:23:80 | I | Matching ok | SEQ : 20174673090, PART : 68193661AB, SCAN P68193661AB, CELL [1,1]
06:29:26:38 | I | Matching ok | SEQ : 20174673080, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
06:29:29:38 | I | Matching ok | SEQ : 20174673070, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
06:29:35:95 | I | Matching ok | SEQ : 20174673060, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
06:29:39:73 | I | Matching ok | SEQ : 20174673050, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
06:29:43:93 | I | Matching ok | SEQ : 20174673040, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
06:29:48:68 | I | Matching ok | SEQ : 20174673150, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
06:29:50:70 | I | Matching ok | SEQ : 20174673140, PART : N/A, SCAN N/A, CELL [2,2]
06:29:52:71 | I | Matching ok | SEQ : 20174673130, PART : N/A, SCAN N/A, CELL [2,3]
06:29:56:05 | I | Matching ok | SEQ : 20174673120, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
06:29:59:63 | I | Matching ok | SEQ : 20174673110, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
06:30:03:73 | I | Matching ok | SEQ : 20174673100, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
06:40:17:12 | I | Matching ok | SEQ : 20174673210, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
06:40:18:82 | I | Matching ok | SEQ : 20174673200, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
06:40:20:83 | I | Matching ok | SEQ : 20174673190, PART : N/A, SCAN N/A, CELL [1,3]
06:40:23:77 | I | Matching ok | SEQ : 20174673180, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
06:40:27:67 | I | Matching ok | SEQ : 20174673170, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
06:40:30:32 | I | Matching ok | SEQ : 20174673160, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
06:40:33:02 | I | Matching ok | SEQ : 20174673270, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
06:40:35:67 | I | Matching ok | SEQ : 20174673260, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
06:40:37:47 | I | Matching ok | SEQ : 20174673250, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
06:40:39:49 | I | Matching ok | SEQ : 20174673240, PART : N/A, SCAN N/A, CELL [2,4]
06:40:41:22 | I | Matching ok | SEQ : 20174673230, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
06:40:44:87 | I | Matching ok | SEQ : 20174673220, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
06:55:27:99 | I | Matching ok | SEQ : 20174673330, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
06:55:30:00 | I | Matching ok | SEQ : 20174673320, PART : N/A, SCAN N/A, CELL [1,2]
06:55:35:76 | I | Matching ok | SEQ : 20174673310, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
06:55:37:77 | I | Matching ok | SEQ : 20174673300, PART : N/A, SCAN N/A, CELL [1,4]
06:55:40:44 | I | Matching ok | SEQ : 20174673290, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
06:55:52:51 | I | Matching ok | SEQ : 20174673280, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
06:55:54:53 | I | Matching ok | SEQ : 20174673390, PART : N/A, SCAN N/A, CELL [2,1]
06:55:57:76 | I | Matching ok | SEQ : 20174673380, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
06:56:02:21 | I | Matching ok | SEQ : 20174673370, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
06:56:06:46 | I | Matching ok | SEQ : 20174673360, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
06:56:08:49 | I | Matching ok | SEQ : 20174673350, PART : N/A, SCAN N/A, CELL [2,5]
06:56:12:11 | I | Matching ok | SEQ : 20174673340, PART : 68193661AB, SCAN P68193661AB, CELL [2,6]
06:56:14:17 | I | Matching ok | SEQ : 20174673450, PART : N/A, SCAN N/A, CELL [1,1]
06:56:16:18 | I | Matching ok | SEQ : 20174673440, PART : N/A, SCAN N/A, CELL [1,2]
07:07:10:71 | I | Matching ok | SEQ : 20174673430, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
07:07:14:39 | I | Matching ok | SEQ : 20174673420, PART : 68193661AB, SCAN P68193661AB, CELL [1,4]
07:07:16:64 | I | Matching ok | SEQ : 20174673410, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
07:07:18:65 | I | Matching ok | SEQ : 20174673400, PART : N/A, SCAN N/A, CELL [1,6]
07:07:20:76 | I | Matching ok | SEQ : 20174673510, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
07:07:25:16 | W | Mismatching | SEQ : 20174673500, PART : 68193661AB, SCAN TQ41877C0724, CELL [2,2]
07:07:33:99 | I | Matching ok | SEQ : 20174673500, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
07:07:38:01 | I | Matching ok | SEQ : 20174673490, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
07:07:41:09 | I | Matching ok | SEQ : 20174673480, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
07:07:46:06 | I | Matching ok | SEQ : 20174673470, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
07:07:49:26 | I | Matching ok | SEQ : 20174673460, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
07:16:40:70 | I | Matching ok | SEQ : 20174673570, PART : 68193661AB, SCAN P68193661AB, CELL [1,1]
07:16:44:47 | I | Matching ok | SEQ : 20174673560, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
07:16:50:35 | I | Matching ok | SEQ : 20174673550, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
07:16:54:45 | I | Matching ok | SEQ : 20174673540, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
07:16:58:97 | I | Matching ok | SEQ : 20174673530, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
07:17:00:99 | I | Matching ok | SEQ : 20174673520, PART : N/A, SCAN N/A, CELL [1,6]
07:17:04:85 | I | Matching ok | SEQ : 20174673630, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
07:17:09:48 | I | Matching ok | SEQ : 20174673620, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
07:17:13:95 | I | Matching ok | SEQ : 20174673610, PART : 68193661AB, SCAN P68193661AB, CELL [2,3]
07:17:18:62 | I | Matching ok | SEQ : 20174673600, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
07:17:20:63 | I | Matching ok | SEQ : 20174673590, PART : N/A, SCAN N/A, CELL [2,5]
07:17:23:55 | I | Matching ok | SEQ : 20174673580, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
07:30:22:20 | I | Matching ok | SEQ : 20174673690, PART : 68193661AB, SCAN P68193661AB, CELL [1,1]
07:30:25:34 | I | Matching ok | SEQ : 20174673680, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
07:30:29:79 | I | Matching ok | SEQ : 20174673670, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
07:30:35:47 | I | Matching ok | SEQ : 20174673660, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
07:30:38:57 | I | Matching ok | SEQ : 20174673650, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
07:30:42:94 | I | Matching ok | SEQ : 20174673640, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
07:30:47:32 | I | Matching ok | SEQ : 20174673750, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
07:30:49:34 | I | Matching ok | SEQ : 20174673740, PART : N/A, SCAN N/A, CELL [2,2]
07:30:55:60 | I | Matching ok | SEQ : 20174673730, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
07:31:01:45 | I | Matching ok | SEQ : 20174673720, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
07:31:03:94 | I | Matching ok | SEQ : 20174673710, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
07:31:06:44 | I | Matching ok | SEQ : 20174673700, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
07:38:14:81 | I | Matching ok | SEQ : 20174673810, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
07:38:16:91 | I | Matching ok | SEQ : 20174673800, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
07:38:20:75 | I | Matching ok | SEQ : 20174673790, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
07:38:26:96 | I | Matching ok | SEQ : 20174673780, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
07:38:33:40 | I | Matching ok | SEQ : 20174673770, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
07:38:35:42 | I | Matching ok | SEQ : 20174673760, PART : N/A, SCAN N/A, CELL [1,6]
07:38:43:31 | I | Matching ok | SEQ : 20174673870, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
07:38:45:31 | I | Matching ok | SEQ : 20174673860, PART : N/A, SCAN N/A, CELL [2,2]
07:38:57:11 | I | Matching ok | SEQ : 20174673850, PART : 68193661AB, SCAN P68193661AB, CELL [2,3]
07:39:00:58 | I | Matching ok | SEQ : 20174673840, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
07:39:04:71 | I | Matching ok | SEQ : 20174673830, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
07:39:14:66 | I | Matching ok | SEQ : 20174673820, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
07:50:05:85 | I | Matching ok | SEQ : 20174673930, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
07:50:08:07 | I | Matching ok | SEQ : 20174673920, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
07:50:12:82 | I | Matching ok | SEQ : 20174673910, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
07:50:32:90 | I | Matching ok | SEQ : 20174673900, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
07:50:35:35 | I | Matching ok | SEQ : 20174673890, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
07:50:38:12 | I | Matching ok | SEQ : 20174673880, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
07:50:40:60 | I | Matching ok | SEQ : 20174673990, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
07:50:42:62 | I | Matching ok | SEQ : 20174673980, PART : N/A, SCAN N/A, CELL [2,2]
07:50:48:03 | I | Matching ok | SEQ : 20174673970, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
07:50:50:03 | I | Matching ok | SEQ : 20174673960, PART : N/A, SCAN N/A, CELL [2,4]
07:51:04:35 | I | Matching ok | SEQ : 20174673950, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
07:51:06:52 | I | Matching ok | SEQ : 20174673940, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
07:51:08:63 | I | Matching ok | SEQ : 20174674050, PART : N/A, SCAN N/A, CELL [1,1]
07:59:44:84 | I | Matching ok | SEQ : 20174674040, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
07:59:47:89 | I | Matching ok | SEQ : 20174674030, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
07:59:51:06 | I | Matching ok | SEQ : 20174674020, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
07:59:53:07 | I | Matching ok | SEQ : 20174674010, PART : N/A, SCAN N/A, CELL [1,5]
07:59:56:66 | I | Matching ok | SEQ : 20174674000, PART : 68193661AB, SCAN P68193661AB, CELL [1,6]
07:59:59:49 | I | Matching ok | SEQ : 20174674110, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
08:00:03:21 | I | Matching ok | SEQ : 20174674100, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
08:00:06:59 | I | Matching ok | SEQ : 20174674090, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
08:00:09:69 | I | Matching ok | SEQ : 20174674080, PART : 68193661AB, SCAN P68193661AB, CELL [2,4]
08:00:12:51 | I | Matching ok | SEQ : 20174674070, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
08:00:19:74 | I | Matching ok | SEQ : 20174674060, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
08:30:18:68 | I | Matching ok | SEQ : 20174674170, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
08:30:21:93 | I | Matching ok | SEQ : 20174674160, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
08:30:24:75 | I | Matching ok | SEQ : 20174674150, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
08:30:26:78 | I | Matching ok | SEQ : 20174674140, PART : N/A, SCAN N/A, CELL [1,4]
08:30:28:80 | I | Matching ok | SEQ : 20174674130, PART : N/A, SCAN N/A, CELL [1,5]
08:30:31:76 | I | Matching ok | SEQ : 20174674120, PART : 68193661AB, SCAN P68193661AB, CELL [1,6]
08:30:34:78 | I | Matching ok | SEQ : 20174674230, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
08:30:37:55 | I | Matching ok | SEQ : 20174674220, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
08:30:40:38 | I | Matching ok | SEQ : 20174674210, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
08:30:42:39 | I | Matching ok | SEQ : 20174674200, PART : N/A, SCAN N/A, CELL [2,4]
08:30:45:63 | I | Matching ok | SEQ : 20174674190, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
08:30:47:66 | I | Matching ok | SEQ : 20174674180, PART : N/A, SCAN N/A, CELL [2,6]
08:39:55:39 | I | Matching ok | SEQ : 20174674290, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
08:39:59:39 | I | Matching ok | SEQ : 20174674280, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
08:40:01:84 | I | Matching ok | SEQ : 20174674270, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
08:40:04:39 | I | Matching ok | SEQ : 20174674260, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
08:40:06:41 | I | Matching ok | SEQ : 20174674250, PART : N/A, SCAN N/A, CELL [1,5]
08:40:08:87 | I | Matching ok | SEQ : 20174674240, PART : 68193661AB, SCAN P68193661AB, CELL [1,6]
08:40:11:74 | I | Matching ok | SEQ : 20174674350, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
08:40:15:25 | I | Matching ok | SEQ : 20174674340, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
08:40:17:27 | I | Matching ok | SEQ : 20174674330, PART : N/A, SCAN N/A, CELL [2,3]
08:40:22:43 | I | Matching ok | SEQ : 20174674320, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
08:40:24:44 | I | Matching ok | SEQ : 20174674310, PART : N/A, SCAN N/A, CELL [2,5]
08:40:29:27 | I | Matching ok | SEQ : 20174674300, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
08:48:34:69 | I | Matching ok | SEQ : 20174674410, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
08:48:37:48 | I | Matching ok | SEQ : 20174674400, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
08:48:40:78 | I | Matching ok | SEQ : 20174674390, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
08:48:44:11 | I | Matching ok | SEQ : 20174674380, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
08:48:47:88 | I | Matching ok | SEQ : 20174674370, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
08:48:49:90 | I | Matching ok | SEQ : 20174674360, PART : N/A, SCAN N/A, CELL [1,6]
08:48:52:66 | I | Matching ok | SEQ : 20174674470, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
08:48:56:08 | I | Matching ok | SEQ : 20174674460, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
08:48:59:58 | I | Matching ok | SEQ : 20174674450, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
08:49:01:62 | I | Matching ok | SEQ : 20174674440, PART : N/A, SCAN N/A, CELL [2,4]
08:49:06:31 | I | Matching ok | SEQ : 20174674430, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
08:49:10:83 | I | Matching ok | SEQ : 20174674420, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
08:57:51:53 | I | Matching ok | SEQ : 20174674530, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
08:57:53:55 | I | Matching ok | SEQ : 20174674520, PART : N/A, SCAN N/A, CELL [1,2]
08:57:55:84 | I | Matching ok | SEQ : 20174674510, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
08:57:58:82 | I | Matching ok | SEQ : 20174674500, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
08:58:01:59 | I | Matching ok | SEQ : 20174674490, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
08:58:04:03 | I | Matching ok | SEQ : 20174674480, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
08:58:06:72 | I | Matching ok | SEQ : 20174674590, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
08:58:10:33 | I | Matching ok | SEQ : 20174674580, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
08:58:12:35 | I | Matching ok | SEQ : 20174674570, PART : N/A, SCAN N/A, CELL [2,3]
08:58:15:37 | I | Matching ok | SEQ : 20174674560, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
08:58:18:32 | I | Matching ok | SEQ : 20174674550, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
08:58:20:33 | I | Matching ok | SEQ : 20174674540, PART : N/A, SCAN N/A, CELL [2,6]
09:06:53:93 | I | Matching ok | SEQ : 20174674650, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
09:06:56:23 | I | Matching ok | SEQ : 20174674640, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
09:06:58:51 | I | Matching ok | SEQ : 20174674630, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
09:07:01:01 | I | Matching ok | SEQ : 20174674620, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
09:07:03:31 | I | Matching ok | SEQ : 20174674610, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
09:07:05:46 | I | Matching ok | SEQ : 20174674600, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
09:07:08:41 | I | Matching ok | SEQ : 20174674710, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
09:07:11:53 | I | Matching ok | SEQ : 20174674700, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
09:07:13:54 | I | Matching ok | SEQ : 20174674690, PART : N/A, SCAN N/A, CELL [2,3]
09:07:17:68 | I | Matching ok | SEQ : 20174674680, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
09:07:19:71 | I | Matching ok | SEQ : 20174674670, PART : N/A, SCAN N/A, CELL [2,5]
09:07:22:56 | I | Matching ok | SEQ : 20174674660, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
09:07:24:67 | I | Matching ok | SEQ : 20174674770, PART : N/A, SCAN N/A, CELL [1,1]
09:18:59:27 | I | Matching ok | SEQ : 20174674760, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
09:19:03:78 | I | Matching ok | SEQ : 20174674750, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
09:19:08:00 | I | Matching ok | SEQ : 20174674740, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
09:19:10:01 | I | Matching ok | SEQ : 20174674730, PART : N/A, SCAN N/A, CELL [1,5]
09:19:16:53 | I | Matching ok | SEQ : 20174674720, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
09:19:20:45 | I | Matching ok | SEQ : 20174674830, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
09:19:22:46 | I | Matching ok | SEQ : 20174674820, PART : N/A, SCAN N/A, CELL [2,2]
09:19:24:47 | I | Matching ok | SEQ : 20174674810, PART : N/A, SCAN N/A, CELL [2,3]
09:19:26:48 | I | Matching ok | SEQ : 20174674800, PART : N/A, SCAN N/A, CELL [2,4]
09:19:29:30 | I | Matching ok | SEQ : 20174674790, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
09:19:33:48 | I | Matching ok | SEQ : 20174674780, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
09:30:41:59 | W | Mismatching | SEQ : 20174674890, PART : 04578885AC, SCAN TQ41877H0069, CELL [1,1]
09:30:53:30 | I | Matching ok | SEQ : 20174674890, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
09:30:57:17 | I | Matching ok | SEQ : 20174674880, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
09:30:59:18 | I | Matching ok | SEQ : 20174674870, PART : N/A, SCAN N/A, CELL [1,3]
09:31:02:44 | I | Matching ok | SEQ : 20174674860, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
09:31:26:64 | I | Matching ok | SEQ : 20174674850, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
09:31:30:84 | I | Matching ok | SEQ : 20174674840, PART : 68193661AB, SCAN P68193661AB, CELL [1,6]
