00:11:36:65 | I | Matching ok | SEQ : 20174710530, PART : 68193661AB, SCAN P68193661AB, CELL [1,1]
04:12:39:23 | I | Matching ok | SEQ : 20174712850, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
04:12:49:68 | I | Matching ok | SEQ : 20174712840, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
04:12:58:76 | I | Matching ok | SEQ : 20174712830, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
04:13:05:93 | I | Matching ok | SEQ : 20174712820, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
04:22:32:72 | I | Matching ok | SEQ : 20174712930, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
04:22:38:84 | I | Matching ok | SEQ : 20174712920, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
04:22:49:34 | I | Matching ok | SEQ : 20174712910, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
04:22:51:36 | I | Matching ok | SEQ : 20174712900, PART : N/A, SCAN N/A, CELL [1,4]
04:22:59:17 | I | Matching ok | SEQ : 20174712890, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
04:23:11:47 | I | Matching ok | SEQ : 20174712880, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
04:23:13:49 | I | Matching ok | SEQ : 20174712990, PART : N/A, SCAN N/A, CELL [2,1]
04:23:21:67 | I | Matching ok | SEQ : 20174712980, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
04:23:28:82 | I | Matching ok | SEQ : 20174712970, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
04:23:30:84 | I | Matching ok | SEQ : 20174712960, PART : N/A, SCAN N/A, CELL [2,4]
04:23:40:82 | I | Matching ok | SEQ : 20174712950, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
04:23:55:74 | I | Matching ok | SEQ : 20174712940, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
04:44:45:52 | I | Matching ok | SEQ : 20174713050, PART : 68193661AB, SCAN P68193661AB, CELL [1,1]
04:44:56:35 | I | Matching ok | SEQ : 20174713040, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
04:45:06:17 | I | Matching ok | SEQ : 20174713030, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
04:45:19:25 | I | Matching ok | SEQ : 20174713020, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
04:45:29:35 | I | Matching ok | SEQ : 20174713010, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
04:48:48:18 | I | Matching ok | SEQ : 20174713000, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
04:48:56:43 | I | Matching ok | SEQ : 20174713110, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
04:49:02:55 | I | Matching ok | SEQ : 20174713100, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
04:49:04:59 | I | Matching ok | SEQ : 20174713090, PART : N/A, SCAN N/A, CELL [2,3]
04:49:19:54 | I | Matching ok | SEQ : 20174713080, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
04:49:27:81 | I | Matching ok | SEQ : 20174713070, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
04:49:33:93 | I | Matching ok | SEQ : 20174713060, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
05:00:56:50 | I | Matching ok | SEQ : 20174713170, PART : 68193661AB, SCAN P68193661AB, CELL [1,1]
05:01:08:85 | I | Matching ok | SEQ : 20174713160, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
05:01:19:55 | I | Matching ok | SEQ : 20174713150, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
05:01:34:22 | I | Matching ok | SEQ : 20174713140, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
05:01:49:55 | I | Matching ok | SEQ : 20174713130, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
05:02:01:97 | I | Matching ok | SEQ : 20174713120, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
05:02:19:65 | I | Matching ok | SEQ : 20174713230, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
05:02:37:77 | I | Matching ok | SEQ : 20174713220, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
05:02:39:81 | I | Matching ok | SEQ : 20174713210, PART : N/A, SCAN N/A, CELL [2,3]
05:02:54:27 | I | Matching ok | SEQ : 20174713200, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
05:03:11:17 | I | Matching ok | SEQ : 20174713190, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
05:03:35:50 | I | Matching ok | SEQ : 20174713180, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
05:03:37:59 | I | Matching ok | SEQ : 20174713290, PART : N/A, SCAN N/A, CELL [1,1]
05:03:39:62 | I | Matching ok | SEQ : 20174713280, PART : N/A, SCAN N/A, CELL [1,2]
05:08:42:11 | I | Matching ok | SEQ : 20174713270, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
05:08:54:64 | I | Matching ok | SEQ : 20174713260, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
05:09:04:06 | I | Matching ok | SEQ : 20174713250, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
05:09:13:51 | I | Matching ok | SEQ : 20174713240, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
05:09:33:03 | I | Matching ok | SEQ : 20174713350, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
05:09:44:59 | I | Matching ok | SEQ : 20174713340, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
05:10:34:01 | I | Matching ok | SEQ : 20174713330, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
05:10:36:03 | I | Matching ok | SEQ : 20174713320, PART : N/A, SCAN N/A, CELL [2,4]
05:10:38:04 | I | Matching ok | SEQ : 20174713310, PART : N/A, SCAN N/A, CELL [2,5]
05:10:47:66 | I | Matching ok | SEQ : 20174713300, PART : 68193661AB, SCAN P68193661AB, CELL [2,6]
05:10:49:81 | I | Matching ok | SEQ : 20174713410, PART : N/A, SCAN N/A, CELL [1,1]
05:17:23:97 | I | Matching ok | SEQ : 20174713400, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
05:17:29:62 | I | Matching ok | SEQ : 20174713390, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
05:17:37:45 | I | Matching ok | SEQ : 20174713380, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
05:17:39:51 | I | Matching ok | SEQ : 20174713370, PART : N/A, SCAN N/A, CELL [1,5]
05:17:50:62 | W | Mismatching | SEQ : 20174713360, PART : 68193661AB, SCAN P68193659AA, CELL [1,6]
05:18:01:45 | W | Mismatching | SEQ : 20174713360, PART : 68193661AB, SCAN TQ42956C0626, CELL [1,6]
05:18:09:82 | W | Mismatching | SEQ : 20174713360, PART : 68193661AB, SCAN P68193659AA, CELL [1,6]
05:18:25:57 | I | Matching ok | SEQ : 20174713360, PART : 68193661AB, SCAN P68193661AB, CELL [1,6]
05:18:27:64 | I | Matching ok | SEQ : 20174713470, PART : N/A, SCAN N/A, CELL [2,1]
05:18:36:40 | I | Matching ok | SEQ : 20174713460, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
05:18:38:47 | I | Matching ok | SEQ : 20174713450, PART : N/A, SCAN N/A, CELL [2,3]
05:18:40:53 | I | Matching ok | SEQ : 20174713440, PART : N/A, SCAN N/A, CELL [2,4]
05:18:56:95 | I | Matching ok | SEQ : 20174713430, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
05:19:04:92 | I | Matching ok | SEQ : 20174713420, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
06:19:23:58 | I | Matching ok | SEQ : 20174713530, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
06:19:25:66 | I | Matching ok | SEQ : 20174713520, PART : N/A, SCAN N/A, CELL [1,2]
06:19:30:44 | I | Matching ok | SEQ : 20174713510, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
06:19:34:21 | I | Matching ok | SEQ : 20174713500, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
06:19:37:31 | I | Matching ok | SEQ : 20174713490, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
06:19:40:61 | I | Matching ok | SEQ : 20174713480, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
06:19:44:31 | I | Matching ok | SEQ : 20174713590, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
06:19:47:46 | I | Matching ok | SEQ : 20174713580, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
06:19:49:48 | I | Matching ok | SEQ : 20174713570, PART : N/A, SCAN N/A, CELL [2,3]
06:19:53:54 | I | Matching ok | SEQ : 20174713560, PART : 68193661AB, SCAN P68193661AB, CELL [2,4]
06:19:56:91 | I | Matching ok | SEQ : 20174713550, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
06:19:59:94 | I | Matching ok | SEQ : 20174713540, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
06:29:51:15 | I | Matching ok | SEQ : 20174713650, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
06:29:54:28 | I | Matching ok | SEQ : 20174713640, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
06:29:57:95 | I | Matching ok | SEQ : 20174713630, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
06:30:01:12 | I | Matching ok | SEQ : 20174713620, PART : 68193661AB, SCAN P68193661AB, CELL [1,4]
06:30:04:75 | I | Matching ok | SEQ : 20174713610, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
06:30:08:25 | I | Matching ok | SEQ : 20174713600, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
06:30:11:22 | I | Matching ok | SEQ : 20174713710, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
06:30:13:24 | I | Matching ok | SEQ : 20174713700, PART : N/A, SCAN N/A, CELL [2,2]
06:30:16:25 | I | Matching ok | SEQ : 20174713690, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
06:30:19:00 | I | Matching ok | SEQ : 20174713680, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
06:30:22:00 | I | Matching ok | SEQ : 20174713670, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
06:30:24:60 | I | Matching ok | SEQ : 20174713660, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
06:42:07:92 | I | Matching ok | SEQ : 20174713770, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
06:42:11:02 | I | Matching ok | SEQ : 20174713760, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
06:42:13:80 | I | Matching ok | SEQ : 20174713750, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
06:42:17:22 | I | Matching ok | SEQ : 20174713740, PART : 68193661AB, SCAN P68193661AB, CELL [1,4]
06:42:20:34 | I | Matching ok | SEQ : 20174713730, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
06:42:23:12 | I | Matching ok | SEQ : 20174713720, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
06:42:25:79 | I | Matching ok | SEQ : 20174713830, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
06:42:28:62 | I | Matching ok | SEQ : 20174713820, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
06:42:31:24 | I | Matching ok | SEQ : 20174713810, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
06:42:34:17 | I | Matching ok | SEQ : 20174713800, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
06:42:38:94 | I | Matching ok | SEQ : 20174713790, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
06:42:42:42 | I | Matching ok | SEQ : 20174713780, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
06:42:44:52 | I | Matching ok | SEQ : 20174713890, PART : N/A, SCAN N/A, CELL [1,1]
06:54:39:46 | I | Matching ok | SEQ : 20174713880, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
06:54:43:31 | I | Matching ok | SEQ : 20174713870, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
06:54:46:41 | I | Matching ok | SEQ : 20174713860, PART : 68193661AB, SCAN P68193661AB, CELL [1,4]
06:54:48:98 | I | Matching ok | SEQ : 20174713850, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
06:54:51:73 | I | Matching ok | SEQ : 20174713840, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
06:54:54:51 | I | Matching ok | SEQ : 20174713950, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
06:54:57:57 | I | Matching ok | SEQ : 20174713940, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
06:54:59:58 | I | Matching ok | SEQ : 20174713930, PART : N/A, SCAN N/A, CELL [2,3]
06:55:03:09 | I | Matching ok | SEQ : 20174713920, PART : 68193661AB, SCAN P68193661AB, CELL [2,4]
06:55:05:10 | I | Matching ok | SEQ : 20174713910, PART : N/A, SCAN N/A, CELL [2,5]
06:55:07:12 | I | Matching ok | SEQ : 20174713900, PART : N/A, SCAN N/A, CELL [2,6]
07:03:52:90 | I | Matching ok | SEQ : 20174714010, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
07:03:57:32 | I | Matching ok | SEQ : 20174714000, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
07:04:02:37 | I | Matching ok | SEQ : 20174713990, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
07:04:04:38 | I | Matching ok | SEQ : 20174713980, PART : N/A, SCAN N/A, CELL [1,4]
07:04:07:10 | I | Matching ok | SEQ : 20174713970, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
07:04:12:67 | I | Matching ok | SEQ : 20174713960, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
07:04:15:85 | I | Matching ok | SEQ : 20174714070, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
07:04:20:35 | I | Matching ok | SEQ : 20174714060, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
07:04:22:05 | I | Matching ok | SEQ : 20174714050, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
07:04:23:53 | I | Matching ok | SEQ : 20174714040, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
07:04:28:22 | I | Matching ok | SEQ : 20174714030, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
07:04:30:75 | I | Matching ok | SEQ : 20174714020, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
07:11:14:46 | I | Matching ok | SEQ : 20174714130, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
07:11:16:63 | I | Matching ok | SEQ : 20174714120, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
07:11:19:11 | I | Matching ok | SEQ : 20174714110, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
07:11:21:16 | I | Matching ok | SEQ : 20174714100, PART : N/A, SCAN N/A, CELL [1,4]
07:11:23:64 | I | Matching ok | SEQ : 20174714090, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
07:11:25:65 | I | Matching ok | SEQ : 20174714080, PART : N/A, SCAN N/A, CELL [1,6]
07:11:28:96 | I | Matching ok | SEQ : 20174714190, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
07:11:32:26 | I | Matching ok | SEQ : 20174714180, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
07:11:34:28 | I | Matching ok | SEQ : 20174714170, PART : N/A, SCAN N/A, CELL [2,3]
07:11:56:76 | I | Matching ok | SEQ : 20174714160, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
07:11:58:78 | I | Matching ok | SEQ : 20174714150, PART : N/A, SCAN N/A, CELL [2,5]
07:12:02:06 | I | Matching ok | SEQ : 20174714140, PART : 68193661AB, SCAN P68193661AB, CELL [2,6]
07:23:47:70 | I | Matching ok | SEQ : 20174714250, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
07:23:50:73 | I | Matching ok | SEQ : 20174714240, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
07:23:53:65 | I | Matching ok | SEQ : 20174714230, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
07:23:56:05 | I | Matching ok | SEQ : 20174714220, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
07:23:58:68 | I | Matching ok | SEQ : 20174714210, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
07:24:02:08 | I | Matching ok | SEQ : 20174714200, PART : 68193661AB, SCAN P68193661AB, CELL [1,6]
07:24:05:33 | I | Matching ok | SEQ : 20174714310, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
07:24:08:05 | I | Matching ok | SEQ : 20174714300, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
07:24:10:78 | I | Matching ok | SEQ : 20174714290, PART : 68193661AB, SCAN P68193661AB, CELL [2,3]
07:24:12:78 | I | Matching ok | SEQ : 20174714280, PART : N/A, SCAN N/A, CELL [2,4]
07:24:15:43 | I | Matching ok | SEQ : 20174714270, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
07:24:19:18 | I | Matching ok | SEQ : 20174714260, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
07:36:48:42 | I | Matching ok | SEQ : 20174714370, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
07:36:50:45 | I | Matching ok | SEQ : 20174714360, PART : N/A, SCAN N/A, CELL [1,2]
07:36:54:15 | I | Matching ok | SEQ : 20174714350, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
07:36:56:55 | I | Matching ok | SEQ : 20174714340, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
07:36:58:92 | I | Matching ok | SEQ : 20174714330, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
07:37:01:20 | I | Matching ok | SEQ : 20174714320, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
07:37:06:08 | I | Matching ok | SEQ : 20174714430, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
07:37:08:09 | I | Matching ok | SEQ : 20174714420, PART : N/A, SCAN N/A, CELL [2,2]
07:37:10:17 | I | Matching ok | SEQ : 20174714410, PART : 68193661AB, SCAN P68193661AB, CELL [2,3]
07:37:12:19 | I | Matching ok | SEQ : 20174714400, PART : N/A, SCAN N/A, CELL [2,4]
07:37:14:22 | I | Matching ok | SEQ : 20174714390, PART : N/A, SCAN N/A, CELL [2,5]
07:37:16:24 | I | Matching ok | SEQ : 20174714380, PART : N/A, SCAN N/A, CELL [2,6]
07:52:32:24 | I | Matching ok | SEQ : 20174714490, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
07:52:35:09 | I | Matching ok | SEQ : 20174714480, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
07:52:38:34 | I | Matching ok | SEQ : 20174714470, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
07:52:41:09 | I | Matching ok | SEQ : 20174714460, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
07:52:43:90 | I | Matching ok | SEQ : 20174714450, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
07:52:46:82 | I | Matching ok | SEQ : 20174714440, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
07:52:48:84 | I | Matching ok | SEQ : 20174714550, PART : N/A, SCAN N/A, CELL [2,1]
07:52:50:85 | I | Matching ok | SEQ : 20174714540, PART : N/A, SCAN N/A, CELL [2,2]
07:52:54:34 | I | Matching ok | SEQ : 20174714530, PART : 68193661AB, SCAN P68193661AB, CELL [2,3]
07:52:57:89 | I | Matching ok | SEQ : 20174714520, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
07:53:00:52 | I | Matching ok | SEQ : 20174714510, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
07:53:03:62 | I | Matching ok | SEQ : 20174714500, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
08:00:15:83 | I | Matching ok | SEQ : 20174714610, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
08:00:20:65 | I | Matching ok | SEQ : 20174714600, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
08:00:23:45 | I | Matching ok | SEQ : 20174714590, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
08:00:26:35 | I | Matching ok | SEQ : 20174714580, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
08:00:28:88 | I | Matching ok | SEQ : 20174714570, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
08:00:31:65 | I | Matching ok | SEQ : 20174714560, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
08:00:33:68 | I | Matching ok | SEQ : 20174714670, PART : N/A, SCAN N/A, CELL [2,1]
08:00:36:68 | I | Matching ok | SEQ : 20174714660, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
08:00:38:71 | I | Matching ok | SEQ : 20174714650, PART : N/A, SCAN N/A, CELL [2,3]
08:00:41:70 | I | Matching ok | SEQ : 20174714640, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
08:00:44:73 | I | Matching ok | SEQ : 20174714630, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
08:00:46:75 | I | Matching ok | SEQ : 20174714620, PART : N/A, SCAN N/A, CELL [2,6]
08:30:51:55 | I | Matching ok | SEQ : 20174714730, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
08:30:54:62 | I | Matching ok | SEQ : 20174714720, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
08:30:58:30 | I | Matching ok | SEQ : 20174714710, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
08:31:00:31 | I | Matching ok | SEQ : 20174714700, PART : N/A, SCAN N/A, CELL [1,4]
08:31:01:92 | I | Matching ok | SEQ : 20174714690, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
08:31:05:70 | I | Matching ok | SEQ : 20174714680, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
08:31:22:45 | I | Matching ok | SEQ : 20174714790, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
08:31:26:15 | I | Matching ok | SEQ : 20174714780, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
08:31:29:15 | I | Matching ok | SEQ : 20174714770, PART : 68193661AB, SCAN P68193661AB, CELL [2,3]
08:31:31:17 | I | Matching ok | SEQ : 20174714760, PART : N/A, SCAN N/A, CELL [2,4]
08:31:33:18 | I | Matching ok | SEQ : 20174714750, PART : N/A, SCAN N/A, CELL [2,5]
08:31:35:40 | I | Matching ok | SEQ : 20174714740, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
08:37:48:81 | I | Matching ok | SEQ : 20174714850, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
08:37:54:01 | I | Matching ok | SEQ : 20174714840, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
08:37:57:63 | I | Matching ok | SEQ : 20174714830, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
08:38:01:06 | I | Matching ok | SEQ : 20174714820, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
08:38:03:07 | I | Matching ok | SEQ : 20174714810, PART : N/A, SCAN N/A, CELL [1,5]
08:38:05:08 | I | Matching ok | SEQ : 20174714800, PART : N/A, SCAN N/A, CELL [1,6]
08:38:10:68 | I | Matching ok | SEQ : 20174714910, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
08:38:14:63 | I | Matching ok | SEQ : 20174714900, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
08:38:18:31 | I | Matching ok | SEQ : 20174714890, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
08:38:20:33 | I | Matching ok | SEQ : 20174714880, PART : N/A, SCAN N/A, CELL [2,4]
08:38:23:19 | I | Matching ok | SEQ : 20174714870, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
08:38:27:13 | I | Matching ok | SEQ : 20174714860, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
08:49:33:93 | I | Matching ok | SEQ : 20174714970, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
08:49:38:43 | I | Matching ok | SEQ : 20174714960, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
08:49:42:33 | I | Matching ok | SEQ : 20174714950, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
08:49:46:93 | I | Matching ok | SEQ : 20174714940, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
08:49:48:97 | I | Matching ok | SEQ : 20174714930, PART : N/A, SCAN N/A, CELL [1,5]
08:49:50:99 | I | Matching ok | SEQ : 20174714920, PART : N/A, SCAN N/A, CELL [1,6]
08:49:54:95 | I | Matching ok | SEQ : 20174715030, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
08:49:58:35 | I | Matching ok | SEQ : 20174715020, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
08:50:00:36 | I | Matching ok | SEQ : 20174715010, PART : N/A, SCAN N/A, CELL [2,3]
08:50:02:39 | I | Matching ok | SEQ : 20174715000, PART : N/A, SCAN N/A, CELL [2,4]
08:50:04:53 | I | Matching ok | SEQ : 20174714990, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
08:50:08:90 | I | Matching ok | SEQ : 20174714980, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
09:00:06:34 | I | Matching ok | SEQ : 20174715090, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
09:00:09:21 | I | Matching ok | SEQ : 20174715080, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
09:00:12:87 | I | Matching ok | SEQ : 20174715070, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
09:00:17:04 | I | Matching ok | SEQ : 20174715060, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
09:00:21:22 | I | Matching ok | SEQ : 20174715050, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
09:00:23:23 | I | Matching ok | SEQ : 20174715040, PART : N/A, SCAN N/A, CELL [1,6]
09:00:27:21 | I | Matching ok | SEQ : 20174715150, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
09:00:31:04 | I | Matching ok | SEQ : 20174715140, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
09:00:34:72 | I | Matching ok | SEQ : 20174715130, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
09:00:36:75 | I | Matching ok | SEQ : 20174715120, PART : N/A, SCAN N/A, CELL [2,4]
09:00:39:52 | I | Matching ok | SEQ : 20174715110, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
09:00:43:59 | I | Matching ok | SEQ : 20174715100, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
09:11:27:76 | I | Matching ok | SEQ : 20174715210, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
09:11:29:77 | I | Matching ok | SEQ : 20174715200, PART : N/A, SCAN N/A, CELL [1,2]
09:11:35:68 | I | Matching ok | SEQ : 20174715190, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
09:11:37:70 | I | Matching ok | SEQ : 20174715180, PART : N/A, SCAN N/A, CELL [1,4]
09:11:40:03 | I | Matching ok | SEQ : 20174715170, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
09:11:42:05 | I | Matching ok | SEQ : 20174715160, PART : N/A, SCAN N/A, CELL [1,6]
09:11:46:63 | I | Matching ok | SEQ : 20174715270, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
09:11:51:53 | I | Matching ok | SEQ : 20174715260, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
09:11:53:55 | I | Matching ok | SEQ : 20174715250, PART : N/A, SCAN N/A, CELL [2,3]
09:11:56:28 | I | Matching ok | SEQ : 20174715240, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
