00:05:48:90 | W | Mismatching | SEQ : 20174734890, PART : 52124713AD, SCAN P52124712AD, CELL [1,1]
03:55:17:79 | I | Matching ok | SEQ : 20174737240, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
03:55:19:80 | I | Matching ok | SEQ : 20174737350, PART : N/A, SCAN N/A, CELL [2,1]
03:55:27:49 | I | Matching ok | SEQ : 20174737340, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
03:55:45:61 | I | Matching ok | SEQ : 20174737330, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
03:55:47:65 | I | Matching ok | SEQ : 20174737320, PART : N/A, SCAN N/A, CELL [2,4]
03:55:51:01 | I | Matching ok | SEQ : 20174737310, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
03:55:56:66 | I | Matching ok | SEQ : 20174737300, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
04:01:43:29 | I | Matching ok | SEQ : 20174737410, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
04:01:58:37 | I | Matching ok | SEQ : 20174737400, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
04:02:50:22 | I | Matching ok | SEQ : 20174737390, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
04:03:03:19 | I | Matching ok | SEQ : 20174737380, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
04:03:05:22 | I | Matching ok | SEQ : 20174737370, PART : N/A, SCAN N/A, CELL [1,5]
04:03:18:35 | I | Matching ok | SEQ : 20174737360, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
04:03:45:78 | I | Matching ok | SEQ : 20174737470, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
04:03:47:80 | I | Matching ok | SEQ : 20174737460, PART : N/A, SCAN N/A, CELL [2,2]
04:03:56:27 | I | Matching ok | SEQ : 20174737450, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
04:04:09:10 | I | Matching ok | SEQ : 20174737440, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
04:04:19:87 | I | Matching ok | SEQ : 20174737430, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
04:04:21:90 | I | Matching ok | SEQ : 20174737420, PART : N/A, SCAN N/A, CELL [2,6]
04:12:24:76 | I | Matching ok | SEQ : 20174737530, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
04:12:30:61 | I | Matching ok | SEQ : 20174737520, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
04:12:38:51 | I | Matching ok | SEQ : 20174737510, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
04:12:51:23 | I | Matching ok | SEQ : 20174737500, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
04:12:55:39 | I | Matching ok | SEQ : 20174737490, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
04:12:57:41 | I | Matching ok | SEQ : 20174737480, PART : N/A, SCAN N/A, CELL [1,6]
04:12:59:44 | I | Matching ok | SEQ : 20174737590, PART : N/A, SCAN N/A, CELL [2,1]
04:13:06:93 | I | Matching ok | SEQ : 20174737580, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
04:13:11:86 | I | Matching ok | SEQ : 20174737570, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
04:13:20:26 | I | Matching ok | SEQ : 20174737560, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
04:13:22:28 | I | Matching ok | SEQ : 20174737550, PART : N/A, SCAN N/A, CELL [2,5]
04:13:28:01 | I | Matching ok | SEQ : 20174737540, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
05:52:21:00 | I | Matching ok | SEQ : 20174737650, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
05:52:29:08 | I | Matching ok | SEQ : 20174737640, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
05:52:33:40 | I | Matching ok | SEQ : 20174737630, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
05:52:39:28 | I | Matching ok | SEQ : 20174737620, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
05:52:43:38 | I | Matching ok | SEQ : 20174737610, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
05:52:45:55 | I | Matching ok | SEQ : 20174737600, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
05:53:17:10 | I | Matching ok | SEQ : 20174737710, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
05:53:19:80 | I | Matching ok | SEQ : 20174737700, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
05:53:33:45 | I | Matching ok | SEQ : 20174737690, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
05:54:20:33 | I | Matching ok | SEQ : 20174737680, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
05:54:22:35 | I | Matching ok | SEQ : 20174737670, PART : N/A, SCAN N/A, CELL [2,5]
05:54:27:05 | I | Matching ok | SEQ : 20174737660, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
06:27:23:80 | I | Matching ok | SEQ : 20174737770, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
06:27:26:55 | I | Matching ok | SEQ : 20174737760, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
06:27:29:53 | I | Matching ok | SEQ : 20174737750, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
06:27:32:43 | I | Matching ok | SEQ : 20174737740, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
06:27:34:44 | I | Matching ok | SEQ : 20174737730, PART : N/A, SCAN N/A, CELL [1,5]
06:27:38:43 | I | Matching ok | SEQ : 20174737720, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
06:27:41:40 | I | Matching ok | SEQ : 20174737830, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
06:27:44:05 | I | Matching ok | SEQ : 20174737820, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
06:27:47:06 | I | Matching ok | SEQ : 20174737810, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
06:27:50:53 | I | Matching ok | SEQ : 20174737800, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
06:27:54:55 | I | Matching ok | SEQ : 20174737790, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
06:27:58:33 | I | Matching ok | SEQ : 20174737780, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
06:37:16:19 | I | Matching ok | SEQ : 20174737890, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
06:37:19:67 | I | Matching ok | SEQ : 20174737880, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
06:37:23:34 | I | Matching ok | SEQ : 20174737870, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
06:37:28:29 | I | Matching ok | SEQ : 20174737860, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
06:37:30:30 | I | Matching ok | SEQ : 20174737850, PART : N/A, SCAN N/A, CELL [1,5]
06:40:41:04 | I | Matching ok | SEQ : 20174737840, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
06:40:45:92 | I | Matching ok | SEQ : 20174737950, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
06:40:47:94 | I | Matching ok | SEQ : 20174737940, PART : N/A, SCAN N/A, CELL [2,2]
06:40:52:34 | I | Matching ok | SEQ : 20174737930, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
06:40:56:52 | I | Matching ok | SEQ : 20174737920, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
06:40:59:95 | I | Matching ok | SEQ : 20174737910, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
06:41:01:96 | I | Matching ok | SEQ : 20174737900, PART : N/A, SCAN N/A, CELL [2,6]
06:51:21:44 | I | Matching ok | SEQ : 20174738010, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
06:51:23:47 | I | Matching ok | SEQ : 20174738000, PART : N/A, SCAN N/A, CELL [1,2]
06:51:25:56 | I | Matching ok | SEQ : 20174737990, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
06:51:38:31 | I | Matching ok | SEQ : 20174737980, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
06:51:40:33 | I | Matching ok | SEQ : 20174737970, PART : N/A, SCAN N/A, CELL [1,5]
06:51:44:16 | I | Matching ok | SEQ : 20174737960, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
06:51:52:44 | I | Matching ok | SEQ : 20174738070, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
06:51:55:81 | I | Matching ok | SEQ : 20174738060, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
06:52:02:14 | I | Matching ok | SEQ : 20174738050, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
06:52:04:14 | I | Matching ok | SEQ : 20174738040, PART : N/A, SCAN N/A, CELL [2,4]
06:53:08:76 | I | Matching ok | SEQ : 20174738030, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
06:53:12:51 | I | Matching ok | SEQ : 20174738020, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
07:00:09:85 | I | Matching ok | SEQ : 20174738130, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
07:00:12:25 | I | Matching ok | SEQ : 20174738120, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
07:00:16:72 | I | Matching ok | SEQ : 20174738110, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
07:00:20:30 | I | Matching ok | SEQ : 20174738100, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
07:00:22:33 | I | Matching ok | SEQ : 20174738090, PART : N/A, SCAN N/A, CELL [1,5]
07:00:33:22 | I | Matching ok | SEQ : 20174738080, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
07:00:35:23 | I | Matching ok | SEQ : 20174738190, PART : N/A, SCAN N/A, CELL [2,1]
07:01:17:82 | I | Matching ok | SEQ : 20174738180, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
07:01:21:05 | I | Matching ok | SEQ : 20174738170, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
07:01:23:77 | I | Matching ok | SEQ : 20174738160, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
07:01:26:00 | I | Matching ok | SEQ : 20174738150, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
07:01:28:12 | I | Matching ok | SEQ : 20174738140, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
07:11:30:62 | I | Matching ok | SEQ : 20174738250, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
07:11:34:99 | I | Matching ok | SEQ : 20174738240, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
07:11:38:32 | I | Matching ok | SEQ : 20174738230, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
07:11:44:99 | I | Matching ok | SEQ : 20174738220, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
07:11:47:66 | I | Matching ok | SEQ : 20174738210, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
07:11:50:54 | I | Matching ok | SEQ : 20174738200, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
07:11:52:56 | I | Matching ok | SEQ : 20174738310, PART : N/A, SCAN N/A, CELL [2,1]
07:11:56:42 | W | Mismatching | SEQ : 20174738300, PART : 04578885AC, SCAN P52124713AD, CELL [2,2]
07:12:12:04 | W | Mismatching | SEQ : 20174738300, PART : 04578885AC, SCAN P52124713AD, CELL [2,2]
07:12:23:69 | I | Matching ok | SEQ : 20174738300, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
07:12:27:97 | W | Mismatching | SEQ : 20174738290, PART : 52124713AD, SCAN P04578885AC, CELL [2,3]
07:12:41:67 | W | Mismatching | SEQ : 20174738290, PART : 52124713AD, SCAN P04578885AC, CELL [2,3]
07:12:56:04 | I | Matching ok | SEQ : 20174738290, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
07:12:58:27 | I | Matching ok | SEQ : 20174738280, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
07:13:00:28 | I | Matching ok | SEQ : 20174738270, PART : N/A, SCAN N/A, CELL [2,5]
07:13:01:87 | I | Matching ok | SEQ : 20174738260, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
07:22:12:35 | I | Matching ok | SEQ : 20174738370, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
07:22:14:38 | I | Matching ok | SEQ : 20174738360, PART : N/A, SCAN N/A, CELL [1,2]
07:22:16:39 | I | Matching ok | SEQ : 20174738350, PART : N/A, SCAN N/A, CELL [1,3]
07:22:27:08 | I | Matching ok | SEQ : 20174738340, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
07:22:31:16 | I | Matching ok | SEQ : 20174738330, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
07:22:38:03 | I | Matching ok | SEQ : 20174738320, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
07:22:41:58 | I | Matching ok | SEQ : 20174738430, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
07:22:45:61 | I | Matching ok | SEQ : 20174738420, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
07:22:47:62 | I | Matching ok | SEQ : 20174738410, PART : N/A, SCAN N/A, CELL [2,3]
07:22:56:25 | I | Matching ok | SEQ : 20174738400, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
07:23:00:73 | I | Matching ok | SEQ : 20174738390, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
07:23:02:75 | I | Matching ok | SEQ : 20174738380, PART : N/A, SCAN N/A, CELL [2,6]
07:38:16:00 | I | Matching ok | SEQ : 20174738490, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
07:38:18:06 | I | Matching ok | SEQ : 20174738480, PART : N/A, SCAN N/A, CELL [1,2]
07:38:21:68 | I | Matching ok | SEQ : 20174738470, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
07:38:27:98 | I | Matching ok | SEQ : 20174738460, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
07:38:29:99 | I | Matching ok | SEQ : 20174738450, PART : N/A, SCAN N/A, CELL [1,5]
07:38:33:51 | I | Matching ok | SEQ : 20174738440, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
07:38:36:58 | I | Matching ok | SEQ : 20174738550, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
07:38:39:95 | I | Matching ok | SEQ : 20174738540, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
07:38:44:68 | I | Matching ok | SEQ : 20174738530, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
07:38:48:48 | I | Matching ok | SEQ : 20174738520, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
07:38:55:28 | I | Matching ok | SEQ : 20174738510, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
07:38:58:05 | I | Matching ok | SEQ : 20174738500, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
07:47:15:59 | I | Matching ok | SEQ : 20174738610, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
07:47:17:62 | I | Matching ok | SEQ : 20174738600, PART : N/A, SCAN N/A, CELL [1,2]
07:47:19:82 | I | Matching ok | SEQ : 20174738590, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
07:47:23:27 | I | Matching ok | SEQ : 20174738580, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
07:47:32:04 | I | Matching ok | SEQ : 20174738570, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
07:47:34:06 | I | Matching ok | SEQ : 20174738560, PART : N/A, SCAN N/A, CELL [1,6]
07:47:36:07 | I | Matching ok | SEQ : 20174738670, PART : N/A, SCAN N/A, CELL [2,1]
07:47:43:49 | I | Matching ok | SEQ : 20174738660, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
07:47:45:51 | I | Matching ok | SEQ : 20174738650, PART : N/A, SCAN N/A, CELL [2,3]
07:47:47:59 | I | Matching ok | SEQ : 20174738640, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
07:47:49:60 | I | Matching ok | SEQ : 20174738630, PART : N/A, SCAN N/A, CELL [2,5]
07:47:51:82 | I | Matching ok | SEQ : 20174738620, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
08:23:04:17 | I | Matching ok | SEQ : 20174738730, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
08:23:08:14 | I | Matching ok | SEQ : 20174738720, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
08:23:10:15 | I | Matching ok | SEQ : 20174738710, PART : N/A, SCAN N/A, CELL [1,3]
08:23:12:77 | I | Matching ok | SEQ : 20174738700, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
08:23:17:84 | I | Matching ok | SEQ : 20174738690, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
08:23:24:24 | I | Matching ok | SEQ : 20174738680, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
08:23:26:27 | I | Matching ok | SEQ : 20174738790, PART : N/A, SCAN N/A, CELL [2,1]
08:23:29:95 | I | Matching ok | SEQ : 20174738780, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
08:23:37:12 | I | Matching ok | SEQ : 20174738770, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
08:23:44:07 | I | Matching ok | SEQ : 20174738760, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
08:23:46:82 | I | Matching ok | SEQ : 20174738750, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
08:23:49:25 | I | Matching ok | SEQ : 20174738740, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
08:31:50:06 | W | Mismatching | SEQ : 20174738850, PART : 52124713AD, SCAN TQ41897C1581, CELL [1,1]
08:31:59:13 | I | Matching ok | SEQ : 20174738850, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
08:32:02:86 | W | Mismatching | SEQ : 20174738840, PART : 04578885AC, SCAN P52124713AD, CELL [1,2]
08:32:15:98 | I | Matching ok | SEQ : 20174738840, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
08:32:17:88 | I | Matching ok | SEQ : 20174738830, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
08:32:19:90 | I | Matching ok | SEQ : 20174738820, PART : N/A, SCAN N/A, CELL [1,4]
08:32:23:19 | I | Matching ok | SEQ : 20174738810, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
08:32:25:04 | I | Matching ok | SEQ : 20174738800, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
08:32:27:16 | I | Matching ok | SEQ : 20174738910, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
08:32:29:20 | I | Matching ok | SEQ : 20174738900, PART : N/A, SCAN N/A, CELL [2,2]
08:32:31:61 | I | Matching ok | SEQ : 20174738890, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
08:32:33:86 | I | Matching ok | SEQ : 20174738880, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
08:32:36:85 | I | Matching ok | SEQ : 20174738870, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
08:32:38:87 | I | Matching ok | SEQ : 20174738860, PART : N/A, SCAN N/A, CELL [2,6]
08:42:46:49 | I | Matching ok | SEQ : 20174738970, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
08:42:50:92 | I | Matching ok | SEQ : 20174738960, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
08:42:56:05 | I | Matching ok | SEQ : 20174738950, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
08:43:03:60 | I | Matching ok | SEQ : 20174738940, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
08:43:05:62 | I | Matching ok | SEQ : 20174738930, PART : N/A, SCAN N/A, CELL [1,5]
08:43:09:17 | I | Matching ok | SEQ : 20174738920, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
08:43:12:35 | I | Matching ok | SEQ : 20174739030, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
08:43:19:40 | I | Matching ok | SEQ : 20174739020, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
08:43:27:57 | I | Matching ok | SEQ : 20174739010, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
08:43:36:12 | I | Matching ok | SEQ : 20174739000, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
08:44:49:62 | I | Matching ok | SEQ : 20174738990, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
08:44:55:42 | I | Matching ok | SEQ : 20174738980, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
08:55:21:81 | I | Matching ok | SEQ : 20174739090, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
08:55:24:57 | I | Matching ok | SEQ : 20174739080, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
08:55:27:02 | I | Matching ok | SEQ : 20174739070, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
08:55:29:89 | I | Matching ok | SEQ : 20174739060, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
08:55:32:44 | I | Matching ok | SEQ : 20174739050, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
08:55:34:45 | I | Matching ok | SEQ : 20174739040, PART : N/A, SCAN N/A, CELL [1,6]
08:55:37:44 | I | Matching ok | SEQ : 20174739150, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
08:55:39:45 | I | Matching ok | SEQ : 20174739140, PART : N/A, SCAN N/A, CELL [2,2]
08:55:42:14 | I | Matching ok | SEQ : 20174739130, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
08:55:44:54 | I | Matching ok | SEQ : 20174739120, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
08:55:47:06 | I | Matching ok | SEQ : 20174739110, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
08:55:49:09 | I | Matching ok | SEQ : 20174739100, PART : N/A, SCAN N/A, CELL [2,6]
09:08:39:98 | W | Mismatching | SEQ : 20174739210, PART : 04578885AC, SCAN TQ41907H0184, CELL [1,1]
09:08:48:33 | W | Mismatching | SEQ : 20174739210, PART : 04578885AC, SCAN TQ41907H0188, CELL [1,1]
09:09:02:86 | I | Matching ok | SEQ : 20174739210, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
09:09:04:88 | I | Matching ok | SEQ : 20174739200, PART : N/A, SCAN N/A, CELL [1,2]
09:09:11:56 | W | Mismatching | SEQ : 20174739190, PART : 04578885AC, SCAN P52124713AD, CELL [1,3]
09:09:25:76 | W | Mismatching | SEQ : 20174739190, PART : 04578885AC, SCAN P52124713AD, CELL [1,3]
09:09:41:46 | W | Mismatching | SEQ : 20174739190, PART : 04578885AC, SCAN P52124713AD, CELL [1,3]
09:09:51:51 | I | Matching ok | SEQ : 20174739190, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
09:09:59:21 | I | Matching ok | SEQ : 20174739180, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
09:10:01:23 | I | Matching ok | SEQ : 20174739170, PART : N/A, SCAN N/A, CELL [1,5]
09:10:06:29 | I | Matching ok | SEQ : 20174739160, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
09:10:08:29 | I | Matching ok | SEQ : 20174739270, PART : N/A, SCAN N/A, CELL [2,1]
09:10:10:31 | I | Matching ok | SEQ : 20174739260, PART : N/A, SCAN N/A, CELL [2,2]
09:10:17:03 | I | Matching ok | SEQ : 20174739250, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
09:10:30:76 | I | Matching ok | SEQ : 20174739240, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
09:10:32:77 | I | Matching ok | SEQ : 20174739230, PART : N/A, SCAN N/A, CELL [2,5]
09:10:39:61 | I | Matching ok | SEQ : 20174739220, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
09:27:54:04 | I | Matching ok | SEQ : 20174739330, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
09:27:56:07 | I | Matching ok | SEQ : 20174739320, PART : N/A, SCAN N/A, CELL [1,2]
09:27:58:10 | I | Matching ok | SEQ : 20174739310, PART : N/A, SCAN N/A, CELL [1,3]
09:28:01:81 | I | Matching ok | SEQ : 20174739300, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
09:28:03:84 | I | Matching ok | SEQ : 20174739290, PART : N/A, SCAN N/A, CELL [1,5]
09:28:07:96 | I | Matching ok | SEQ : 20174739280, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
09:28:12:64 | I | Matching ok | SEQ : 20174739390, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
09:28:14:65 | I | Matching ok | SEQ : 20174739380, PART : N/A, SCAN N/A, CELL [2,2]
09:28:19:36 | I | Matching ok | SEQ : 20174739370, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
09:28:22:24 | I | Matching ok | SEQ : 20174739360, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
09:28:24:76 | I | Matching ok | SEQ : 20174739350, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
09:28:31:09 | I | Matching ok | SEQ : 20174739340, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
09:43:39:51 | I | Matching ok | SEQ : 20174739450, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
09:43:41:55 | I | Matching ok | SEQ : 20174739440, PART : N/A, SCAN N/A, CELL [1,2]
09:44:04:66 | I | Matching ok | SEQ : 20174739430, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
09:44:07:84 | I | Matching ok | SEQ : 20174739420, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
09:44:09:85 | I | Matching ok | SEQ : 20174739410, PART : N/A, SCAN N/A, CELL [1,5]
09:44:13:86 | I | Matching ok | SEQ : 20174739400, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
09:44:17:13 | I | Matching ok | SEQ : 20174739510, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
09:44:19:15 | I | Matching ok | SEQ : 20174739500, PART : N/A, SCAN N/A, CELL [2,2]
09:44:21:41 | I | Matching ok | SEQ : 20174739490, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
09:44:25:24 | I | Matching ok | SEQ : 20174739480, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
09:44:27:24 | I | Matching ok | SEQ : 20174739470, PART : N/A, SCAN N/A, CELL [2,5]
09:44:32:41 | I | Matching ok | SEQ : 20174739460, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
09:55:11:82 | W | Mismatching | SEQ : 20174739570, PART : 52124713AD, SCAN P52124712AD, CELL [1,1]
09:55:27:58 | I | Matching ok | SEQ : 20174739570, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
09:55:29:61 | I | Matching ok | SEQ : 20174739560, PART : N/A, SCAN N/A, CELL [1,2]
09:55:32:10 | I | Matching ok | SEQ : 20174739550, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
09:55:34:57 | I | Matching ok | SEQ : 20174739540, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
09:55:36:60 | I | Matching ok | SEQ : 20174739530, PART : N/A, SCAN N/A, CELL [1,5]
09:55:38:97 | I | Matching ok | SEQ : 20174739520, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
09:55:41:88 | I | Matching ok | SEQ : 20174739630, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
09:55:43:90 | I | Matching ok | SEQ : 20174739620, PART : N/A, SCAN N/A, CELL [2,2]
09:55:47:05 | I | Matching ok | SEQ : 20174739610, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
09:55:50:90 | I | Matching ok | SEQ : 20174739600, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
09:55:52:91 | I | Matching ok | SEQ : 20174739590, PART : N/A, SCAN N/A, CELL [2,5]
